Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
186,Western Kentucky,CUSA,17-16,-1.04,104.8,105.8,67.6,0.052,1.25,105.7,104.4,-3.74
187,New Mexico St.,WAC,9-15,-1.12,105.7,106.8,69.3,-0.088,4.01,106.2,102.2,4.46
188,Florida Gulf Coast,ASun,17-15,-1.20,105.0,106.2,66.3,0.006,-2.82,104.4,107.2,1.24
189,North Carolina Central,MEAC,18-12,-1.23,100.9,102.1,67.9,-0.058,-5.94,101.1,107.0,5.02
190,Texas St.,SB,16-19,-1.25,104.8,106.0,63.6,0.001,0.49,104.7,104.2,-0.75
191,Weber St.,BSky,18-15,-1.35,100.5,101.8,65.2,0.064,0.19,106.3,106.1,5.48
192,Abilene Christian,WAC,13-17,-1.43,105.9,107.3,69.2,-0.050,2.44,105.5,103.1,0.24
193,Wright St.,Horz,18-15,-1.47,104.4,105.9,71.3,-0.081,-5.75,103.2,108.9,-1.63
194,Norfolk St.,MEAC,22-11,-1.48,107.5,108.9,65.3,0.065,-7.70,100.3,108.0,-1.50
195,Saint Joseph's,A10,16-17,-1.51,104.4,105.9,69.3,-0.007,-1.85,104.4,106.3,-5.79
196,Quinnipiac,MAAC,20-12,-1.52,104.2,105.7,69.7,0.007,-5.60,101.0,106.6,-3.57
197,UTEP,CUSA,14-18,-1.54,99.1,100.6,67.0,-0.008,1.35,106.0,104.7,-2.13
198,St. Thomas,Sum,19-14,-1.80,107.8,109.6,66.1,-0.001,-4.39,103.3,107.7,-1.95
199,Detroit Mercy,Horz,14-19,-1.83,111.6,113.5,67.3,-0.103,-3.21,104.1,107.3,4.57
200,Drexel,CAA,17-15,-1.96,101.2,103.1,63.7,-0.074,-6.43,101.2,107.6,-1.50
